,0
0,0.2815528198065043
1,0.21886054795042148
2,0.28124426320950935
3,0.2295042176916761
4,0.256167748007392
5,0.2453982952607649
6,0.28955843228591915
7,0.24725418625830212
8,0.2675001447595404
9,0.25081378197901844
10,0.24469226805944888
11,0.2533266722777995
12,0.2353589865734179
13,0.25842688268028297
14,0.2610038169025508
15,0.25196776327873993
16,0.26813409306636166
17,0.2542672374474489
18,0.267147961081757
19,0.23990625644529048
20,0.25932303825107916
21,0.2541973648447921
22,0.2427336580429468
23,0.23968936544547148
24,0.26837723491457177
25,0.24415620792556234
26,0.24235603240090034
27,0.26456544923153835
28,0.2682632581853737
29,0.22759480625869588
30,0.19862719593604983
31,0.22675045873368438
32,0.2188940912058749
33,0.2880887080839626
34,0.27796536930426147
35,0.2616039279622262
36,0.20590099119327016
37,0.22225598155358808
38,0.28943985696453023
39,0.21500034577111857
40,0.20512854690263452
41,0.29140088385356
42,0.2776834994110018
43,0.25735159990764395
44,0.2178398722570355
45,0.24050545381358496
46,0.24658726516994178
47,0.2627311071065183
48,0.22198947955118653
49,0.2542329336707299
50,0.2557099902267553
51,0.2353572711558887
52,0.2555540282387456
53,0.2485751539880893
54,0.25629410629812416
55,0.21564620272304
56,0.21415049870494235
57,0.2451512870886845
58,0.2374373492697205
59,0.24638350697863512
60,0.296985090982102
61,0.3085022202152121
62,0.27774936525042687
63,0.27768494620108086
64,0.20036040803137345
65,0.21537684900942314
66,0.29401377605912954
67,0.2091971445762527
68,0.24548216090901334
69,0.24346014368581978
70,0.2737056585855161
71,0.2217591892579642
72,0.23592324034281048
73,0.18710618949697064
74,0.2574783549639838
75,0.22656734068547477
76,0.2585680023236155
77,0.26363896330880016
78,0.282169350195693
79,0.26829772689683873
80,0.2526957814031466
81,0.20899839070273
82,0.2526879041949456
83,0.212785628470506
84,0.28130363336743264
85,0.2598740171481105
86,0.21886944865640123
87,0.2708587502170423
88,0.2158459202262154
89,0.3155158481115097
90,0.28384181961689126
91,0.282625938972434
92,0.23390688525706121
93,0.26147620997412324
94,0.2532179612201039
95,0.2707204632209073
96,0.23001796878335173
97,0.2229085839696298
98,0.21224534359159514
99,0.2444621391066817
100,0.23106923230204368
101,0.252500243486859
102,0.24167672940208812
103,0.28160417241591457
104,0.2745716711391186
105,0.2747703271659633
106,0.2376020680172805
107,0.3098757460031992
108,0.197770150272446
109,0.31362575886568633
110,0.21961882181903578
111,0.22445904007231154
112,0.27925419752868014
113,0.23891268213774583
114,0.28700808464770705
115,0.22528961676567344
116,0.23309513203270663
117,0.262148979506284
